home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Netherlands,Sweden,0,0,53700,"Westfalenstadion, Dortmund",First round,19-06-1974,0–0,Germany,1974,,,,,,,,,,,,,,,,,,['16&rsquor;|0:0|Johnny Rep'],"['36&rsquor;|0:0|Björn Nordqvist', '68&rsquor;|0:0|Örjan Persson', '74&rsquor;|0:0|Björn Andersson', '86&rsquor;|0:0|Ove Grahn']",['73&rsquor;|0:0|Theo de Jong|for Willem van Hanegem'],"['61&rsquor;|0:0|Örjan Persson|for Staffan Tapper', '75&rsquor;|0:0|Roland Grip']"
Argentina,Italy,1,1,70100,"Neckarstadion, Stuttgart",First round,19-06-1974,1–1,Germany,1974,,['19&rsquor;|1:0|René Houseman'],,,Roberto Perfumo (OG) · 35,,,,,,,,,,,,,['54&rsquor;|1:1|Carlos Babington'],['48&rsquor;|1:1|Romeo Benetti'],"['60&rsquor;|1:1|Rubén Glaria|for Enrique Wolff', '78&rsquor;|1:1|Enrique Chazarreta|for Héctor Yazalde']","['66&rsquor;|1:1|Giuseppe Wilson|for Francesco Morini', '66&rsquor;|1:1|Franco Causio']"
Australia,West Germany,0,3,53300,"Volksparkstadion, Hamburg",First round,18-06-1974,0–3,Germany,1974,Wolfgang Overath · 12|Bernhard Cullmann · 34|Gerd Müller · 53,,"['12&rsquor;|0:1|Wolfgang Overath', '34&rsquor;|0:2|Bernhard Cullmann', '53&rsquor;|0:3|Gerd Müller']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Jimmy Mackay'],,"['46&rsquor;|0:2|Attila Abonyi|for Ernie Campbell', '61&rsquor;|0:3|Peter Ollerton']","['46&rsquor;|0:2|Bernd Hölzenbein|for Jupp Heynckes', '67&rsquor;|0:3|Herbert Wimmer|for Bernhard Cullmann']"
Yugoslavia,Zaire,9,0,31700,"Parkstadion, Gelsenkirchen",First round,18-06-1974,9–0,Germany,1974,,"['8&rsquor;|1:0|Dušan Bajević', '14&rsquor;|2:0|Dragan Džajić', '18&rsquor;|3:0|Ivica Šurjak', '22&rsquor;|4:0|Josip Katalinski', '30&rsquor;|5:0|Dušan Bajević', '35&rsquor;|6:0|Vladislav Bogićević', '61&rsquor;|7:0|Branko Oblak', '65&rsquor;|8:0|Ilija Petković', '81&rsquor;|9:0|Dušan Bajević']",,,,,,,,,,,,,Ndaye Mulamba · 23,,,['1&rsquor;|0:0|Enver Hadžiabdić'],,,"['21&rsquor;|3:0|Tubilandu Ndimbi|for Kazadi Mwamba', '46&rsquor;|6:0|Mayanga Maku|for Kakoko Etepé']"
Chile,Germany DR,1,1,28300,"Olympiastadion, Berlin West",First round,18-06-1974,1–1,Germany,1974,Martin Hoffmann · 55,['69&rsquor;|1:1|Sergio Ahumada'],['55&rsquor;|0:1|Martin Hoffmann'],,,,,,,,,,,,,,,"['56&rsquor;|0:1|Leonardo Véliz', '60&rsquor;|0:1|Guillermo Páez']",['65&rsquor;|0:1|Gerd Kische'],"['46&rsquor;|0:0|Guillermo Yávar|for Francisco Valdés', '67&rsquor;|0:1|Rogelio Farías']","['29&rsquor;|0:0|Peter Ducke|for Wolfgang Seguin', '72&rsquor;|1:1|Hans-Jürgen Kreische|for Eberhard Vogel']"
Scotland,Brazil,0,0,62000,"Waldstadion, Frankfurt/Main",First round,18-06-1974,0–0,Germany,1974,,,,,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Marinho Peres', '1&rsquor;|0:0|Marinho Chagas', '35&rsquor;|0:0|Rivellino']",,['65&rsquor;|0:0|Paulo César Carpegiani|for Leivinha']
Uruguay,Netherlands,0,2,55100,"Niedersachsenstadion, Hanover",First round,15-06-1974,0–2,Germany,1974,Johnny Rep · 7|Johnny Rep · 86,,"['7&rsquor;|0:1|Johnny Rep', '86&rsquor;|0:2|Johnny Rep']",,,,,,,,,,,Julio Montero Castillo · 69,,,,"['25&rsquor;|0:1|Walter Mantegazza', '50&rsquor;|0:1|Pablo Forlán', '65&rsquor;|0:1|Juan Carlos Masnik']",,['64&rsquor;|0:1|Denís Milar|for Luis Cubilla'],
Sweden,Bulgaria,0,0,23800,"Rheinstadion, Dï¿½Sseldorf",First round,15-06-1974,0–0,Germany,1974,,,,,,,,,,,,,,,,,,,,['73&rsquor;|0:0|Benno Magnusson|for Ove Kindvall'],"['73&rsquor;|0:0|Mladen Vasilev|for Pavel Panov', '75&rsquor;|0:0|Atanas Mihaylov|for Voyn Voynov']"
Italy,Haiti,3,1,53000,"Olympiastadion, Munich",First round,15-06-1974,3–1,Germany,1974,Emmanuel Sanon · 46,"['52&rsquor;|1:1|Gianni Rivera', '66&rsquor;|2:1|Romeo Benetti', '79&rsquor;|3:1|Pietro Anastasi']",['46&rsquor;|0:1|Emmanuel Sanon'],,,,,,,,,,,,,,,,['1&rsquor;|0:0|Pierre Bayonne'],['70&rsquor;|2:1|Pietro Anastasi|for Giorgio Chinaglia'],['46&rsquor;|0:1|Claude Barthélemy|for Guy Saint-Vil']
Poland,Argentina,3,2,32700,"Neckarstadion, Stuttgart",First round,15-06-1974,3–2,Germany,1974,Ramón Heredia · 60|Carlos Babington · 66,"['7&rsquor;|1:0|Grzegorz Lato', '8&rsquor;|2:0|Andrzej Szarmach', '62&rsquor;|3:1|Grzegorz Lato']","['60&rsquor;|2:1|Ramón Heredia', '66&rsquor;|3:2|Carlos Babington']",,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Carlos Babington', '1&rsquor;|0:0|Roberto Perfumo']","['70&rsquor;|3:2|Jan Domarski|for Andrzej Szarmach', '85&rsquor;|3:2|Lesław Ćmikiewicz|for Robert Gadocha']","['45&rsquor;|2:0|René Houseman|for Miguel Ángel Brindisi', '67&rsquor;|3:2|Roberto Telch|for Ángel Bargas']"
West Germany,Chile,1,0,81100,"Olympiastadion, Berlin West",First round,14-06-1974,1–0,Germany,1974,,['18&rsquor;|1:0|Paul Breitner'],,,,,,,,,,,,,Carlos Caszely · 67,,,,"['1&rsquor;|0:0|Rolando García', '1&rsquor;|0:0|Carlos Reinoso', '13&rsquor;|0:0|Carlos Caszely']",['75&rsquor;|1:0|Bernd Hölzenbein|for Wolfgang Overath'],"['76&rsquor;|1:0|Leonardo Véliz|for Francisco Valdés', '83&rsquor;|1:0|Alfonso Lara|for Juan Rodríguez Vega']"
Germany DR,Australia,2,0,17000,"Volksparkstadion, Hamburg",First round,14-06-1974,2–0,Germany,1974,,['72&rsquor;|2:0|Joachim Streich'],,Colin Curran (OG) · 58,,,,,,,,,,,,,,"['1&rsquor;|0:0|Siegmar Wätzlich', '1&rsquor;|0:0|Eberhard Vogel', '1&rsquor;|0:0|Gerd Kische']",,['55&rsquor;|0:0|Martin Hoffmann|for Wolfram Löwe'],
Zaire,Scotland,0,2,27000,"Westfalenstadion, Dortmund",First round,14-06-1974,0–2,Germany,1974,Peter Lorimer · 26|Joe Jordan · 34,,"['26&rsquor;|0:1|Peter Lorimer', '34&rsquor;|0:2|Joe Jordan']",,,,,,,,,,,,,,,['40&rsquor;|0:2|Kidumu Mantantu'],['1&rsquor;|0:0|Jim Holton'],"['64&rsquor;|0:2|Kembo Uba Kembo|for Mayanga Maku', '78&rsquor;|0:2|Kibonge Mafu']",['75&rsquor;|0:2|Tommy Hutchison|for Kenny Dalglish']
Brazil,Yugoslavia,0,0,62000,"Waldstadion, Frankfurt/Main",First round,13-06-1974,0–0,Germany,1974,,,,,,,,,,,,,,,,,,,"['17&rsquor;|0:0|Branko Oblak', '49&rsquor;|0:0|Jovan Aćimović']",,
Brazil,Italy,4,1,107412,"Estadio Azteca, Mexico City",Final,21-06-1970,4–1,Mexico,1970,Roberto Boninsegna · 37,"['18&rsquor;|1:0|Pelé', '66&rsquor;|2:1|Gérson', '71&rsquor;|3:1|Jairzinho', '86&rsquor;|4:1|Carlos Alberto Torres']",['37&rsquor;|1:1|Roberto Boninsegna'],,,,,,,,,,,,,,,['1&rsquor;|0:0|Rivellino'],['1&rsquor;|0:0|Tarcisio Burgnich'],,"['74&rsquor;|3:1|Antonio Juliano|for Mario Bertini', '84&rsquor;|3:1|Gianni Rivera']"
West Germany,Uruguay,1,0,104403,"Estadio Azteca, Mexico City",Third-place match,20-06-1970,1–0,Mexico,1970,,['26&rsquor;|1:0|Wolfgang Overath'],,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Max Lorenz', '1&rsquor;|0:0|Hannes Löhr']","['1&rsquor;|0:0|Dagoberto Fontes', '1&rsquor;|0:0|Luis Ubiña', '1&rsquor;|0:0|Julio Montero Castillo']","['46&rsquor;|1:0|Max Lorenz', '73&rsquor;|1:0|Hannes Löhr|for Reinhard Libuda']","['46&rsquor;|1:0|Víctor Espárrago|for Dagoberto Fontes', '67&rsquor;|1:0|Rodolfo Sandoval|for Ildo Maneiro']"
Italy,West Germany,4,3,102444,"Estadio Azteca, Mexico City",Semi-finals,17-06-1970,4–3,Mexico,1970,Karl-Heinz Schnellinger · 90|Gerd Müller · 94|Gerd Müller · 110,"['8&rsquor;|1:0|Roberto Boninsegna', '98&rsquor;|2:2|Tarcisio Burgnich', '104&rsquor;|3:2|Luigi Riva', '111&rsquor;|4:3|Gianni Rivera']","['90&rsquor;|1:1|Karl-Heinz Schnellinger', '94&rsquor;|1:2|Gerd Müller', '110&rsquor;|3:3|Gerd Müller']",,,,,,,,,,,,,,,"['1&rsquor;|0:0|Roberto Rosato', '1&rsquor;|0:0|Angelo Domenghini', '1&rsquor;|0:0|Giancarlo De Sisti']","['1&rsquor;|0:0|Wolfgang Overath', '1&rsquor;|0:0|Gerd Müller']","['46&rsquor;|1:0|Gianni Rivera|for Sandro Mazzola', '91&rsquor;|1:1|Fabrizio Poletti|for Roberto Rosato']","['53&rsquor;|1:0|Reinhard Libuda', '66&rsquor;|1:0|Sigfried Held|for Bernd Patzke']"
Brazil,Uruguay,3,1,51261,"Jalisco, Guadalajara",Semi-finals,17-06-1970,3–1,Mexico,1970,Luis Cubilla · 19,"['44&rsquor;|1:1|Clodoaldo', '76&rsquor;|2:1|Jairzinho', '89&rsquor;|3:1|Rivellino']",['19&rsquor;|0:1|Luis Cubilla'],,,,,,,,,,,,,,,['1&rsquor;|0:0|Carlos Alberto Torres'],"['1&rsquor;|0:0|Ildo Maneiro', '1&rsquor;|0:0|Juan Mujica', '1&rsquor;|0:0|Dagoberto Fontes']",,['77&rsquor;|2:1|Víctor Espárrago|for Ildo Maneiro']
Brazil,Peru,4,2,54233,"Jalisco, Guadalajara",Quarter-finals,14-06-1970,4–2,Mexico,1970,Alberto Gallardo · 28|Teófilo Cubillas · 70,"['11&rsquor;|1:0|Rivellino', '15&rsquor;|2:0|Tostão', '52&rsquor;|3:1|Tostão', '75&rsquor;|4:2|Jairzinho']","['28&rsquor;|2:1|Alberto Gallardo', '70&rsquor;|3:2|Teófilo Cubillas']",,,,,,,,,,,,,,,,,"['67&rsquor;|3:1|Paulo Cézar Caju', '80&rsquor;|4:2|Roberto Miranda|for Jairzinho']","['54&rsquor;|3:1|Hugo Sotil|for Julio Baylón', '61&rsquor;|3:1|Eladio Reyes|for Pedro Pablo León']"
Italy,Mexico,4,1,26851,"Luis Dosal, Toluca",Quarter-finals,14-06-1970,4–1,Mexico,1970,José Luis González Dávila · 13,"['63&rsquor;|2:1|Luigi Riva', '70&rsquor;|3:1|Gianni Rivera', '76&rsquor;|4:1|Luigi Riva']",['13&rsquor;|0:1|José Luis González Dávila'],Javier Guzmán (OG) · 25,,,,,,,,,,,,,,['1&rsquor;|0:0|Gianni Rivera'],,"['46&rsquor;|1:1|Gianni Rivera|for Sandro Mazzola', '84&rsquor;|4:1|Sergio Gori|for Angelo Domenghini']","['60&rsquor;|1:1|Isidoro Díaz|for Antonio Munguía', '68&rsquor;|2:1|Enrique Borja']"
Uruguay,Soviet Union,1,0,26085,"Estadio Azteca, Mexico City",Quarter-finals,14-06-1970,1–0,Mexico,1970,,['117&rsquor;|1:0|Víctor Espárrago'],,,,,,,,,,,,,,,,,['1&rsquor;|0:0|Anatoliy Byshovets'],"['96&rsquor;|0:0|Alberto Gómez|for Julio Morales', '103&rsquor;|0:0|Víctor Espárrago|for Dagoberto Fontes']","['71&rsquor;|0:0|Nikolay Kiselyov|for Kakhi Asatiani', '86&rsquor;|0:0|Gennady Logofet|for Murtaz Khurtsilava']"
West Germany,England,3,2,23357,"Nou Camp - Estadio Leï¿½n, Leon",Quarter-finals,14-06-1970,3–2,Mexico,1970,Alan Mullery · 31|Martin Peters · 49,"['68&rsquor;|1:2|Franz Beckenbauer', '82&rsquor;|2:2|Uwe Seeler', '108&rsquor;|3:2|Gerd Müller']","['31&rsquor;|0:1|Alan Mullery', '49&rsquor;|0:2|Martin Peters']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Gerd Müller'],['1&rsquor;|0:0|Francis Lee'],"['45&rsquor;|0:1|Willi Schulz|for Horst-Dieter Höttges', '55&rsquor;|0:2|Jürgen Grabowski|for Reinhard Libuda']","['70&rsquor;|1:2|Colin Bell|for Bobby Charlton', '81&rsquor;|1:2|Norman Hunter|for Martin Peters']"
Mexico,Belgium,1,0,108192,"Estadio Azteca, Mexico City",Group stage,11-06-1970,1–0,Mexico,1970,,,,,,Gustavo Peña (P) · 14,,,,,,,,,,,,"['1&rsquor;|0:0|Javier Valdivia', '1&rsquor;|0:0|Gustavo Peña']","['1&rsquor;|0:0|Jean Thissen', '1&rsquor;|0:0|Paul Van Himst']",['46&rsquor;|1:0|Juan Ignacio Basaguren|for Javier Valdivia'],['65&rsquor;|1:0|Johan Devrindt|for Odilon Polleunis']
Italy,Israel,0,0,9890,"Luis Dosal, Toluca",Group stage,11-06-1970,0–0,Mexico,1970,,,,,,,,,,,,,,,,,,['90&rsquor;|0:0|Roberto Boninsegna'],"['62&rsquor;|0:0|David Primo', '67&rsquor;|0:0|Menachem Bello']",['46&rsquor;|0:0|Gianni Rivera|for Angelo Domenghini'],['46&rsquor;|0:0|Dani Shmulevich-Rom|for Yehoshua Feigenbaum']
Bulgaria,Morocco,1,1,12299,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,11-06-1970,1–1,Mexico,1970,Maouhoub Ghazouani · 61,['40&rsquor;|1:0|Dobromir Zhechev'],['61&rsquor;|1:1|Maouhoub Ghazouani'],,,,,,,,,,,,,,,,,"['42&rsquor;|1:0|Ivan Dimitrov|for Dimitar Penev', '50&rsquor;|1:0|Hristo Bonev|for Dimitar Yakimov']","['46&rsquor;|1:0|Moustapha Choukri|for Driss Bamous', '74&rsquor;|1:1|Ahmed Faras']"
England,Czechoslovakia,1,0,49292,"Jalisco, Guadalajara",Group stage,11-06-1970,1–0,Mexico,1970,,,,,,Allan Clarke (P) · 50,,,,,,,,,,,,,['1&rsquor;|0:0|Karol Dobiaš'],"['65&rsquor;|1:0|Alan Ball Jr.|for Bobby Charlton', '65&rsquor;|1:0|Peter Osgood|for Jeff Astle']",['72&rsquor;|1:0|Karol Jokl|for Jozef Čapkovič']
West Germany,Peru,3,1,17875,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,10-06-1970,3–1,Mexico,1970,Teófilo Cubillas · 44,"['19&rsquor;|1:0|Gerd Müller', '26&rsquor;|2:0|Gerd Müller', '39&rsquor;|3:0|Gerd Müller']",['44&rsquor;|3:1|Teófilo Cubillas'],,,,,,,,,,,,,,,,,"['46&rsquor;|3:1|Bernd Patzke|for Horst-Dieter Höttges', '75&rsquor;|3:1|Jürgen Grabowski|for Reinhard Libuda']","['56&rsquor;|3:1|Oswaldo Ramírez|for Pedro Pablo León', '72&rsquor;|3:1|Luis Cruzado']"
Brazil,Romania,3,2,50804,"Jalisco, Guadalajara",Group stage,10-06-1970,3–2,Mexico,1970,Florea Dumitrache · 34|Emerich Dembrovschi · 84,"['19&rsquor;|1:0|Pelé', '22&rsquor;|2:0|Jairzinho', '67&rsquor;|3:1|Pelé']","['34&rsquor;|2:1|Florea Dumitrache', '84&rsquor;|3:2|Emerich Dembrovschi']",,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Mihai Mocanu', '1&rsquor;|0:0|Ion Dumitru']","['60&rsquor;|2:1|Marco Antônio|for Everaldo', '74&rsquor;|3:1|Jonas Eduardo Américo|for Clodoaldo']","['27&rsquor;|2:0|Răducanu Necula|for Stere Adamache', '72&rsquor;|3:1|Gheorghe Tătaru|for Florea Dumitrache']"
